Ontario,4.0,5.9,3.7,359.6,24.1,63.4,0.929,4385,92.2
Quebec,10.0,3.2,3.8,889.5,16.1,66.8,0.908,4581,88
Alberta,5.0,5.6,3.4,415.1,21.7,60.9,0.94,5187,94.1
British Columbia,2.0,5.9,3.7,182.2,24.7,61.9,0.93,4258,94
Manitoba,2.0,4.8,3.6,150.2,24.8,69.4,0.897,4786,91.2
Saskatchewan,2.0,5.8,3.7,164.6,24.3,70.7,0.912,4804,89.9
Nova Scotia,1.0,5.7,3.8,111.2,30.4,67,0.895,4846,88.5
New Brunswick,0.0,4.8,3.8,25.6,26.7,69.5,0.889,4691,89.2
Prince Edward Island,0.0,5.9,3.7,37,26,70.1,0.908,5160,88.5
Newfoundland and Labrador,1.0,3.6,3.5,52.7,23.6,67.6,0.885,6009,86
Yukon,0.0,-,2.4,35.7,-,52.8,0.908,8053,-
Nunavut,0.0,-,0.0,17.8,-,79.4,0.908,15510,-
Northwest Territories,0.0,-,1.0,11.1,-,53.2,0.908,12506,-
