NCR,5.5,0.2,0.6,1296,141,2.245972133,45.1,2.3,99.8,34715,899.5,166861,12877253,100,4.065877728,18136
Region I: Ilocos Region,1.3,2.6,4.4,42,217,9.851273643,58.2,4.5,99.2,8388,504.1,2112,5026128,20.48419778,18.80861122,10892
Region II: Cagayan Valley,2.3,2.1,4.4,56,318,16.28576664,55.9,2.5,98.7,5548,586,1940,3451410,19.22967715,17.76553398,10982
Region III: Central Luzon,1.2,2.4,4.0,153,170,7.035614573,53.5,5.6,99.4,13007,468.9,17110,11218177,61.63838385,10.53160501,19088
Region IV-A: CALABARZON,3.2,2.1,4.2,388,276,7.14725586,52.1,5.2,99.5,12969,420.5,55954,14414774,66.35216757,12.46461576,39810
Region V: Bicol Region,0.4,6.5,4.7,44,120,26.98932701,70.8,9.4,99,5984,483.2,2572,5796989,23.20002677,39.84674431,6976
Region VI: Western Visayas,5.5,5.5,4.2,166,602,16.31770557,58.8,12,98.4,8564,539.5,12505,7536383,38.06593959,24.59841528,45345
Region VII: Central Visayas,2.3,5.3,4.4,301,221,17.69622696,60.6,10.7,98.6,10035,450.4,22276,7396898,49.43461435,29.35572679,16338
Region VIII: Eastern Visayas,3.4,5.8,4.5,114,408,30.74744422,66.9,8,97.2,3805,616,5046,4440150,11.93432654,41.30153241,18107
Region IX: Zamboanga Peninsula,4.2,5.1,5.2,65,510,32.69595326,64.5,6.2,96.6,4473,372.6,2356,3629783,37.83350134,37.69106929,18505
Region X: Northern Mindanao,3.4,5.0,5.0,72,425,23.07975196,62.3,8.3,97.9,6149,367.8,3356,4689302,48.45072891,38.72064074,19925
Region XI: Davao Region,0.5,2.9,5.3,68,122,19.07006423,57.7,4,97.9,5082,310.5,3330,4893318,63.53300562,23.51256406,5975
Region XII: SOCCSKSARGEN,2.8,4.0,5.1,39,373,28.22242711,61.1,4.5,95.4,5178,393.7,1792,4545276,51.61730553,38.14690522,16956
BARMM,0.0,7.3,6.6,36,91,61.81190388,78,3.7,88.7,1144,110.2,1360,3781387,23.24311159,59.38535986,3456
CAR,2.4,1.7,3.0,102,306,12.04518194,56.7,1.8,97.8,3788,1096.5,1748,1722006,30.4686511,22.68605872,5272
CARAGA,2.4,5.3,4.8,58,325,30.5407324,65.8,6.8,98.2,2673,560.8,1519,2596709,33.47294595,39.65213517,8445
MIMAROPA,1.6,3.8,4.8,53,245,15.08192137,66.6,4.6,97.3,2419,585.1,1574,2963360,30.56213217,25.22694627,7272
